KO id,Tau,lambda,num_ORFs,Trusted Cutoff,E_value_trusted,E_values_MAG,Rk
K07552,-6.4746,0.69738,4825,305.77,1.3016989921474023e-91,7.2e-128,5.531232676244313e-37
K08114,-7.2844,0.69453,4825,,,,
K19745,-6.0544,0.69935,4825,197.03,1.0044360778185436e-58,1.3e-121,1.2942585682738204e-63
K20555,-3.8441,0.71882,4825,52.23,1.507681067759588e-14,,
K06755,-7.035,0.69486,4825,,,1.5e-06,
K17054,-5.7234,0.69857,4825,,,,
K18562,-4.9385,0.70241,4825,,,1.4999999999999999e-53,
K03822,-7.1993,0.69561,4825,1027.33,1.421103064344743e-309,1.5e-10,1.0555180955095862e+299
K23613,-4.8696,0.70832,4825,,,,
K06053,-6.1993,0.69722,4825,,,,
K14159,-5.5801,0.69837,4825,456.93,2.5409682697636653e-137,4.3e-33,1.6922682786589626e+104
K15141,-5.1319,0.70323,4825,,,,
K14836,-6.4186,0.69604,4825,,,1.2e-07,
K00177,-5.1096,0.70434,4825,136.6,2.166753727902236e-40,,
K22683,-6.1777,0.6971,4825,,,,
K16207,-6.8321,0.69632,4825,,,,
K12081,-5.367,0.70355,4825,396.8,6.341937512216319e-120,,
K15099,-6.448,0.69806,4825,,,5.9e-09,
K13374,-5.6725,0.70074,4825,,,,
K21923,-7.0329,0.69535,4825,,,,
K20587,-5.2221,0.70348,4825,,,6.1e-17,
K11454,-5.2309,0.69868,4825,,,,
K23609,-6.1462,0.69778,4825,,,,
K10841,-6.9171,0.695,4825,,,2.6000000000000002e-111,
K13859,-6.9337,0.69512,4825,,,,
K11046,-4.2463,0.71911,4825,73.33,2.857536453249177e-21,,
K20463,-6.6491,0.69527,4825,,,,
K14790,-6.4388,0.69628,4825,,,,
K03587,-6.5,0.6967,4825,,,1.8e-79,
K05112,-7.178,0.695,4825,,,2.1,
K06673,-6.1987,0.69695,4825,,,,
K22401,-6.1999,0.69627,4825,,,,
K25419,-4.8784,0.70291,4825,,,,
K12953,-6.898,0.69586,4825,,,3.9e-271,
K00675,-5.2394,0.6998,4825,,,,
K16126,-6.3718,0.69712,4825,,,3.9e-18,
K13846,-6.4942,0.69609,4825,,,,
K18313,-5.7436,0.69922,4825,492.67,2.145563849833689e-148,1.5e-78,6.991169244934243e+69
K18301,-4.8895,0.70085,4825,170.73,1.6953582721134826e-50,2.2e-14,1.2976608167059677e+36
K23585,-6.0978,0.69934,4825,,,,
K00137,-6.3087,0.69828,4825,,,4e-136,
K10235,-5.7605,0.69989,4825,556.13,7.801527842617563e-168,1.1999999999999999e-43,1.538160247848807e+124
K22269,-5.6295,0.70018,4825,50.0,5.853817460022896e-14,,
K23251,-5.3836,0.70209,4825,50.0,6.255653354926806e-14,4.2e-05,671392700.602916
K21414,-5.6584,0.69879,4825,,,0.086,
K15828,-6.0953,0.69714,4825,691.4,3.213600355011984e-208,1.6e-39,4.978839380275191e+168
K12810,-4.5451,0.70589,4825,50.0,9.160645784476776e-14,,
K15995,-5.9169,0.69931,4825,,,,
K01322,-6.2279,0.69605,4825,498.17,1.617022628926823e-149,6.800000000000001e-260,4.205259640994009e-111
K02902,-4.8887,0.70057,4825,,,1.3000000000000002e-28,
K03385,-5.9699,0.69767,4825,268.5,3.3166602250241998e-80,,
K10710,-5.3636,0.70171,4825,,,7.099999999999999e-26,
K13728,-5.2793,0.70115,4825,,,,
K25153,-5.9385,0.69727,4825,,,1e-98,
K10369,-7.6263,0.69431,4825,,,,
K11351,-4.4315,0.70505,4825,,,,
K07427,-6.3086,0.69683,4825,,,3.9e-74,
K19022,-6.6178,0.69567,4825,,,,
K24571,-7.0674,0.6953,4825,,,,
K01925,-5.9959,0.69772,4825,377.23,3.630268360658478e-113,8.800000000000001e-27,2.4240632167490252e+86
K20850,-6.073,0.69803,4825,341.53,2.029771873526634e-102,5.6e-05,2.7589307315951036e+97
K23868,-5.522,0.69863,4825,,,,
K01318,-5.1941,0.6996,4825,,,3.4e-07,
K10643,-6.1164,0.69619,4825,,,,
K01405,-6.5202,0.69661,4825,,,,
K23952,-4.6449,0.70579,4825,52.47,1.5017514265754612e-14,,
K04851,-7.9417,0.69443,4825,,,0.002,
K07869,-6.1204,0.69657,4825,,,,
K07157,-5.0839,0.70239,4825,130.1,2.795413466810895e-38,7.4e-27,264719337152.0163
K18179,-4.215,0.7062,4825,,,,
K19161,-3.942,0.71832,4825,102.37,3.2972307964452265e-30,,
K16075,-6.0064,0.698,4825,,,0.41,
K14370,-5.8716,0.69926,4825,677.57,1.3573737525777007e-204,1.2e-13,8.84060118092867e+190
K17388,-7.5619,0.6948,4825,,,6.2,
K02859,-4.248,0.71333,4825,77.23,2.7669242373600322e-22,0.16,5.782594183086799e+20
K03841,-5.9649,0.69811,4825,206.53,1.8120196418042935e-61,3.1e-140,1.710798232249413e-79
K26640,-6.3957,0.69728,4825,,,,
K14129,-5.1556,0.70132,4825,,,,
K15111,-5.7627,0.69876,4825,,,,
K10418,-4.6473,0.70812,4825,85.83,7.223991667189822e-25,,
K11400,-6.0586,0.69851,4825,,,,
K16484,-7.8078,0.69429,4825,,,,
K11398,-4.9774,0.70286,4825,,,,
K21084,-6.5112,0.69572,4825,,,1.2999999999999998e-43,
K09628,-5.8412,0.69792,4825,,,,
K03663,-5.9715,0.69881,4825,,,,
K12659,-6.8921,0.69544,4825,655.83,3.344683631548343e-197,3.9e-60,1.1660295650128758e+137
K13641,-5.7526,0.69917,4825,,,0.031,
K03252,-6.8528,0.69542,4825,,,,
K06314,-4.8419,0.70348,4825,84.23,2.9544367797730757e-24,,
K24146,-6.1786,0.69547,4825,,,,
K19753,-6.1167,0.69698,4825,,,,
K15976,-5.2033,0.705,4825,,,,
K20482,-3.7092,0.71838,4825,,,,
K06213,-6.5929,0.69684,4825,,,4.9e-128,
K19044,-6.2682,0.69643,4825,,,0.0017,
K06737,-5.7121,0.69979,4825,,,,
K20140,-6.3486,0.69688,4825,1260.93,0.0,3e-07,inf
K23158,-5.9673,0.70036,4825,,,,
K17873,-6.3846,0.69779,4825,,,3.2000000000000004e-48,
K09984,-4.0899,0.71349,4825,33.83,8.579386433703907e-09,,
K06352,-4.1963,0.71939,4825,97.03,1.1419766456222642e-28,,
K25976,-6.577,0.69684,4825,,,,
K07483,-4.5121,0.70439,4825,43.77,8.19200526257925e-12,1.2,146484280897.81042
K10591,-6.6486,0.69597,4825,,,,
K15085,-5.8195,0.6985,4825,,,,
K16948,-6.0765,0.6972,4825,,,,
K17930,-6.7369,0.69534,4825,,,,
K21994,-4.5605,0.70281,4825,,,,
K01254,-6.51,0.69617,4825,698.63,3.086759214138492e-210,8.400000000000001e-223,2.721300696706407e-13
K12242,-5.6313,0.70279,4825,252.23,9.541875451249543e-76,1.4,1.4672168036071619e+75
K15937,-5.8925,0.69889,4825,,,,
K02711,-4.4583,0.71947,4825,45.97,8.444566541400772e-13,,
K05729,-6.6402,0.69632,4825,,,,
K26427,-5.6428,0.69981,4825,,,,
K24135,-6.4963,0.69591,4825,,,,
K18174,-4.8571,0.70372,4825,,,,
K10880,-5.6893,0.69867,4825,,,1.9e-05,
K13898,-5.1362,0.70116,4825,,,,
K25577,-5.6751,0.69805,4825,,,,
K04233,-6.1038,0.69836,4825,,,,
K17556,-4.837,0.70522,4825,,,,
K12883,-4.8169,0.70232,4825,,,5.2e-05,
K09724,-6.4371,0.69804,4825,400.53,2.0390065196442067e-120,,
K16229,-7.9243,0.69411,4825,,,1.5e-09,
K17211,-5.6316,0.69938,4825,,,,
K15695,-6.6021,0.6964,4825,,,,
K00077,-5.8097,0.69885,4825,,,2.8e-46,
K15264,-6.0698,0.69706,4825,,,1.0000000000000001e-39,
K22381,-6.1521,0.69589,4825,,,,
K25399,-6.1743,0.69663,4825,,,,
K23157,-5.6312,0.7,4825,,,1.0,
K22048,-6.6812,0.69561,4825,,,0.075,
K23030,-5.7539,0.70059,4825,50.0,5.2442514494739857e-14,,
K04783,-7.1352,0.69589,4825,,,2.5e-51,
K21186,-6.1958,0.69847,4825,,,,
K21954,-7.3575,0.6947,4825,,,2.5e-06,
K14506,-6.3661,0.69732,4825,,,1.3e-12,
K13067,-5.3159,0.70364,4825,,,1.3e-22,
K03731,-6.602,0.69632,4825,1202.97,0.0,1.4e-31,inf
K07632,-5.7616,0.6975,4825,,,,
K22647,-6.001,0.69767,4825,,,,
K20947,-5.9356,0.69914,4825,374.83,1.1766069674433907e-112,,
K05524,-4.5999,0.70671,4825,,,0.00024,
K18695,-6.384,0.6963,4825,,,,
K01858,-6.4349,0.69625,4825,81.17,1.5622256881564127e-23,,
K03873,-4.7281,0.70529,4825,,,,
K16629,-7.5364,0.69498,4825,,,0.064,
K17611,-5.2674,0.70242,4825,,,,
K17535,-6.4338,0.6957,4825,,,1.8e-11,
K09474,-5.2045,0.70156,4825,,,3e-14,
K00979,-5.9364,0.69899,4825,146.5,2.5630700455304673e-43,3.2e-105,1.2485027498878635e-62
K01961,-6.3984,0.69666,4825,,,4.4999999999999995e-229,
K12424,-6.2777,0.69812,4825,,,3.9e-51,
K03274,-5.9758,0.69925,4825,262.13,1.8408411562742314e-78,1.8e-37,9.778138618125576e+40
K20049,-9.2282,0.69368,4825,,,,
K21031,-5.8954,0.69785,4825,,,2.5e-28,
K14473,-4.8705,0.69815,4825,,,,
K13382,-6.1626,0.6976,4825,,,,
K16824,-5.6067,0.70065,4825,,,,
K11332,-5.1823,0.70382,4825,298.4,7.744090196929492e-90,5.5e-42,7.102190005716531e+47
K26679,-7.2974,0.69549,4825,,,,
K09794,-4.5077,0.71136,4825,27.37,6.842416732746824e-07,,
K19139,-5.3913,0.70043,4825,80.87,2.776027068884593e-23,,
K07775,-5.4908,0.70035,4825,,,3.3000000000000004e-74,
K08377,-5.8694,0.69846,4825,,,,
K08215,-6.8341,0.69654,4825,,,1.7e-06,
K06173,-5.6449,0.6981,4825,229.47,2.518442481049911e-68,1.8e-60,71472746.09383176
K07404,-5.6018,0.69864,4825,,,0.16,
K18655,-6.1945,0.697,4825,,,4.900000000000001e-80,
K25616,-5.4973,0.69967,4825,,,,
K12666,-6.2188,0.69652,4825,102.8,5.080167470061027e-30,,
K15286,-6.099,0.69919,4825,,,,
K04593,-7.0106,0.6953,4825,,,,
K04274,-5.9,0.69916,4825,,,,
K09203,-5.1387,0.69764,4825,,,,
K04817,-6.4852,0.69756,4825,,,,
K20792,-6.6845,0.69551,4825,,,0.019,
K24396,-6.1618,0.6975,4825,,,,
K09895,-5.1189,0.70131,4825,107.67,2.1419581576445127e-31,,
K25220,-6.4912,0.69824,4825,556.73,7.785717370094595e-168,,
K24238,-5.4433,0.70179,4825,,,,
K13837,-5.5954,0.69718,4825,,,,
K12392,-6.6703,0.69544,4825,,,,
K08003,-6.5473,0.69676,4825,,,0.0094,
K04167,-5.987,0.6977,4825,,,,
K08301,-6.1173,0.69696,4825,,,2.2000000000000002e-162,
K14811,-6.4644,0.69705,4825,,,4.7999999999999995e-92,
K17829,-6.1463,0.69864,4825,521.13,5.008374352177366e-157,1.9999999999999998e-25,3.993311720260107e+131
K11964,-6.2931,0.69811,4825,,,,
K18476,-5.0009,0.70137,4825,164.47,1.1547055131417078e-48,3.8e-08,3.2908823563689495e+40
K11977,-5.8808,0.69843,4825,,,,
K00481,-6.0957,0.69851,4825,282.57,1.3006130344444234e-84,3.7e-11,2.844812332347962e+73
K03499,-5.5314,0.70033,4825,,,3.7e-06,
K24204,-4.9425,0.70434,4825,,,8.7e-38,
K13786,-5.096,0.70749,4825,210.03,3.837929898850492e-63,,
K19792,-6.0727,0.69775,4825,,,1.7e-07,
K12960,-6.1321,0.69691,4825,448.1,1.598515944249716e-134,2.0000000000000002e-23,1.251160494954416e+111
K15978,-6.1401,0.69665,4825,,,,
K00153,-6.0722,0.69912,4825,,,1.6e-30,
K00355,-5.1413,0.70037,4825,,,0.25,
K25387,-4.6027,0.71149,4825,,,,
K17984,-6.1314,0.69792,4825,,,,
K20459,-5.2103,0.70097,4825,,,2.4999999999999997e-62,
K21441,-5.7715,0.69768,4825,,,3.6e-06,
K06357,-4.2137,0.71954,4825,69.33,5.031076492634091e-20,,
K03234,-7.148,0.69538,4825,915.27,1.2987960852787173e-275,8.6e-39,6.621516724201143e+236
K18257,-5.2377,0.70218,4825,457.83,2.948897173460436e-138,9.3e-25,3.153721358512731e+113
K16941,-5.7461,0.69848,4825,,,,
K01509,-6.1965,0.69735,4825,,,,
K04354,-6.3037,0.69726,4825,,,,
K10770,-6.4073,0.69618,4825,,,0.031,
K13788,-6.2118,0.69634,4825,562.77,4.110974552376641e-169,4.4e-87,1.070305822607505e+82
K00394,-6.3439,0.69726,4825,476.9,2.235785449611912e-143,3.1e-26,1.3865373354755926e+117
K07676,-6.9974,0.69588,4825,257.07,7.548854744725415e-77,2.8e-25,3.7091719137349066e+51
K26080,-6.2084,0.69766,4825,501.9,5.392497910907568e-151,,
K19659,-4.7301,0.71133,4825,196.27,3.883300232244679e-59,0.0042,1.081554283422546e+56
K10945,-5.8681,0.69907,4825,146.4,2.848134861595894e-43,,
K05334,-6.8532,0.69644,4825,,,1.1e-26,
K18233,-5.6698,0.70225,4825,335.2,5.2954256139460195e-101,,
K18912,-6.1071,0.69799,4825,370.47,3.39214107344058e-111,4.3e-18,1.2676359582057704e+93
K22206,-5.4289,0.7012,4825,211.9,3.168955988248591e-63,,
K17409,-6.0348,0.69706,4825,,,,
K19558,-4.9471,0.70075,4825,123.03,5.444884459272257e-36,,
K06395,-4.9315,0.70328,4825,35.23,2.611832626588245e-09,,
K15184,-7.6924,0.69432,4825,,,,
K20595,-6.1055,0.69792,4825,,,1.3e-20,
K21133,-7.1162,0.69552,4825,1648.07,0.0,1.5000000000000002e-193,inf
K19216,-5.2416,0.70339,4825,508.4,5.985293103676722e-154,7.8e-25,1.3031943239686151e+129
K11438,-6.3011,0.69608,4825,,,0.7,
K15163,-7.0015,0.69482,4825,,,,
K17962,-6.8424,0.69533,4825,,,3.5,
K05408,-4.68,0.70445,4825,,,,
K04305,-5.9065,0.69818,4825,,,,
K02614,-4.6738,0.70517,4825,,,5.3e-07,
K24865,-5.2963,0.69983,4825,,,,
K12162,-4.9958,0.70512,4825,,,,
K00376,-6.5497,0.69682,4825,495.77,4.666136913118464e-149,0.002,4.2862008493089064e+145
K13890,-5.4639,0.70061,4825,366.8,2.5963724625742007e-110,,
K20094,-5.2134,0.702,4825,,,,
K07653,-5.7828,0.69778,4825,364.93,2.197594968216266e-109,9.300000000000001e-44,4.231899023480466e+65
K26046,-4.3572,0.70992,4825,,,,
K04175,-5.7624,0.69998,4825,,,,
K23116,-5.5626,0.69817,4825,,,,
K23977,-6.1157,0.69857,4825,,,2.4e-89,
K18243,-4.9436,0.70868,4825,192.3,9.47737102176386e-58,,
K25263,-5.743,0.70073,4825,429.47,1.7302008845491098e-129,,
K09891,-5.3093,0.70505,4825,59.37,7.563788051184982e-17,,
K17942,-5.5293,0.70071,4825,395.3,5.073816405134342e-119,,
K08571,-5.8494,0.69863,4825,,,,
K13547,-5.8258,0.6989,4825,450.13,1.9406926549172874e-135,7.8e-48,4.019183552963175e+87
K10967,-5.9723,0.69798,4825,,,,
K23276,-6.1701,0.69781,4825,,,1.5e-23,
K12306,-5.9777,0.69717,4825,,,,
K23094,-5.9613,0.6984,4825,214.4,7.005391349480584e-64,4.4e-06,6.280876799732593e+57
K24655,-5.9261,0.6984,4825,,,7.2e-30,
K04029,-4.8659,0.70869,4825,88.9,6.671353484914098e-26,0.3,4.4968386202048603e+24
K05011,-6.5709,0.69531,4825,,,,
K24974,-5.7277,0.69722,4825,,,,
K04149,-6.0309,0.69765,4825,,,,
K05131,-6.7454,0.69591,4825,,,,
K21303,-5.5103,0.699,4825,370.7,2.9966998588199053e-111,1.4e-37,4.6718058729822793e+73
K25144,-6.2676,0.69757,4825,,,6.8e-78,
K22759,-4.6161,0.70344,4825,,,,
K23741,-6.4646,0.69626,4825,,,4.2e-05,
K13917,-6.8596,0.69586,4825,,,,
K15984,-5.2037,0.7009,4825,92.03,1.2185700749464904e-26,,
K06288,-6.0643,0.69821,4825,612.4,1.4039142407870323e-184,,
K07270,-5.1998,0.70118,4825,,,,
K26697,-4.3457,0.71276,4825,,,,
K20202,-6.3333,0.69828,4825,927.63,2.8221497807083505e-280,6e-15,2.1260388236708042e+265
K01662,-6.5609,0.69649,4825,339.7,8.828554148932162e-102,2.6e-59,2.94498958282368e+42
K19693,-6.9723,0.69541,4825,,,2e-136,
K02680,-5.2986,0.70142,4825,103.3,3.998378050827056e-30,9.3,2.325943140388217e+30
K05698,-7.6447,0.69442,4825,,,9.8e-20,
K19242,-5.4987,0.70148,4825,229.77,1.0212880873875446e-68,6.4000000000000005e-28,6.266596153462637e+40
K03303,-6.5015,0.69695,4825,121.9,6.587697777447546e-36,1e-06,1.5179809909061397e+29
K10253,-5.9198,0.69912,4825,,,,
K05952,-4.1487,0.71349,4825,,,,
K18658,-5.1294,0.69793,4825,,,,
K19640,-6.305,0.6973,4825,346.7,6.04982402688137e-104,4.2e-15,6.942350688777079e+88
K03854,-6.0467,0.69851,4825,,,,
K24122,-6.546,0.69745,4825,50.0,3.5957392961436946e-14,0.0033,91775285364.51837
K11077,-5.7981,0.69998,4825,401.27,8.626454859479493e-121,,
K20359,-5.4204,0.70196,4825,,,,
K21341,-5.4844,0.70123,4825,323.03,4.3412716937987067e-97,,
K22388,-8.0694,0.69409,4825,,,,
K23370,-4.6989,0.70547,4825,105.83,6.598753803737098e-31,,
K21368,-4.9011,0.70362,4825,,,,
K08568,-5.6398,0.69873,4825,,,,
K09550,-5.0232,0.70599,4825,55.63,1.2211459738479866e-15,,
K20326,-5.5922,0.70082,4825,219.6,1.391523867772447e-65,,
K22719,-5.9373,0.69799,4825,164.1,1.3789404997450545e-48,3.1e-75,2.2481028010803538e-27
K23701,-5.7132,0.69804,4825,,,,
K14062,-5.1601,0.69987,4825,547.37,5.52269116176613e-165,,
K02342,-5.707,0.69966,4825,,,1.1e-55,
K06598,-5.3889,0.70419,4825,,,0.028,
K07580,-4.651,0.71206,4825,,,,
K01628,-5.6629,0.69982,4825,,,4.6999999999999996e-39,
K16862,-5.4266,0.69978,4825,,,0.16,
K20025,-6.1876,0.69915,4825,616.9,3.0978173122091625e-186,,
K02498,-6.0583,0.69757,4825,,,3.8e-08,
K03480,-5.3474,0.70183,4825,292.03,1.1030603599995634e-87,,
K22708,-5.9022,0.69667,4825,,,4.3e-26,
K18530,-5.8404,0.70003,4825,384.6,9.596933199803926e-116,4.9,5.105797756412551e+115
K19525,-8.2784,0.6939,4825,,,,
K02210,-6.6275,0.69634,4825,,,0.021,
K05228,-5.0334,0.70083,4825,,,,
K04770,-5.6717,0.69735,4825,430.63,3.5256066297536256e-129,0.0052,1.4749234801510977e+126
K07788,-7.2569,0.69551,4825,1505.53,0.0,3.2e-233,inf
K22875,-5.707,0.70003,4825,462.8,1.7716985690359323e-139,,
K22671,-3.9739,0.71489,4825,,,,
K25689,-4.7787,0.70471,4825,,,,
K06504,-5.6333,0.69719,4825,,,9.9,
K05752,-4.6802,0.70655,4825,,,,
K02566,-5.7962,0.69838,4825,,,0.2,
K22420,-6.3209,0.69692,4825,,,,
K25438,-4.622,0.70581,4825,,,,
K15717,-5.3418,0.70131,4825,,,,
K06383,-5.7128,0.69955,4825,102.7,5.5786374589645984e-30,7.5,1.3444143045983147e+30
K26240,-6.3228,0.69628,4825,,,,
K24458,-7.1532,0.69578,4825,,,0.048,
K25440,-5.7224,0.69893,4825,,,3.7,
K09683,-4.5829,0.7095,4825,173.77,5.336704349659129e-52,,
K01408,-7.2735,0.69462,4825,1022.13,1.3922628776168184e-307,2.6999999999999997e-25,1.939288939903129e+282
K11489,-5.9749,0.70115,4825,,,,
K06807,-6.9948,0.69622,4825,,,,
K26676,-5.1552,0.70487,4825,,,,
K20769,-5.9948,0.69776,4825,,,2.3e-35,
K21751,-4.9684,0.70247,4825,,,,
K10528,-5.9038,0.69822,4825,,,,
K11510,-5.2766,0.70168,4825,,,,
K08441,-5.9836,0.69904,4825,,,,
K20443,-5.3065,0.70169,4825,,,,
K02418,-4.4218,0.70554,4825,,,,
K03400,-6.3377,0.69824,4825,602.77,9.475338639907249e-182,0.36,3.7993365058615353e+180
K19369,-5.3376,0.70107,4825,,,,
K10807,-6.7905,0.6956,4825,,,5.2e-199,
K07506,-5.1066,0.69945,4825,,,7.3e-39,
K26159,-4.9521,0.7015,4825,,,,
K08979,-6.5179,0.69733,4825,140.9,1.0926769682404498e-41,,
K09961,-6.1588,0.69785,4825,126.9,2.275343146267287e-37,,
K13467,-3.6935,0.71875,4825,,,,
K15377,-6.7379,0.69604,4825,,,,
K20372,-6.0712,0.69808,4825,,,,
K00714,-5.9454,0.69876,4825,,,,
K17862,-6.5531,0.69521,4825,,,,
K13783,-6.1587,0.69656,4825,,,1.8e-07,
K10058,-5.2588,0.70057,4825,,,,
K11040,-4.7573,0.70307,4825,89.43,8.402366737416363e-26,,
K22869,-6.52,0.69564,4825,,,,
K23851,-7.5884,0.69466,4825,,,,
K24386,-6.584,0.69524,4825,,,,
K06641,-6.5992,0.69559,4825,,,0.00048,
K08125,-5.9878,0.6986,4825,,,2.4e-09,
K04309,-7.0215,0.69572,4825,,,9.8e-23,
K10694,-4.8185,0.70102,4825,,,,
K06167,-5.5681,0.70014,4825,147.57,1.3160248010616331e-43,1.6e-13,1.215782558739991e+30
K24468,-6.8583,0.69532,4825,,,,
K25450,-6.2588,0.69717,4825,,,,
K17894,-4.8747,0.69825,4825,,,,
K02162,-4.845,0.70299,4825,,,,
K19654,-5.4213,0.70113,4825,,,1.5e-09,
K19832,-6.596,0.69623,4825,,,0.052,
K12232,-6.4572,0.69602,4825,,,,
K16378,-7.2125,0.69475,4825,,,1e-10,
K17360,-5.9342,0.69901,4825,,,3e-30,
K22925,-5.8501,0.70022,4825,749.8,7.745167507206602e-227,9.999999999999999e-29,1.2911276600145e+198
K19158,-4.1967,0.71034,4825,44.0,6.530890154605239e-12,1.4e-36,2.143658776763829e-25
K07114,-5.689,0.69863,4825,,,3.3e-47,
K00308,-6.4473,0.6961,4825,,,1.1e-20,
K09798,-5.9159,0.69949,4825,45.17,1.4601087784049363e-12,,
K20553,-6.865,0.69542,4825,,,,
K05293,-5.9116,0.69801,4825,,,,
K23925,-4.4809,0.70482,4825,,,,
K20675,-5.7261,0.69889,4825,,,,
K19642,-5.8277,0.70083,4825,,,0.55,
K20582,-5.9218,0.69977,4825,,,,
K18646,-5.4355,0.6997,4825,,,1.4,
K11637,-6.3577,0.69772,4825,628.0,2.9040146614186255e-189,1.9e-15,6.542666692570487e+173
K21122,-6.9053,0.69513,4825,,,,
K25515,-5.5973,0.70052,4825,,,,
K24961,-6.4891,0.69689,4825,,,,
K09934,-5.2536,0.70219,4825,137.1,1.869545493153251e-40,,
K20713,-6.1353,0.69833,4825,705.63,6.587203296705394e-213,,
K10868,-6.2575,0.69624,4825,,,,
K11850,-6.1041,0.69584,4825,,,,
K24161,-5.4539,0.70151,4825,616.37,1.7275586409930006e-186,,
K16580,-5.7511,0.69699,4825,,,,
K04859,-7.1318,0.69507,4825,,,8.2e-06,
K05841,-6.4152,0.69646,4825,295.97,1.6650544161139438e-88,,
K07402,-5.7132,0.69855,4825,70.4,3.913343069414134e-20,1.1e-79,2.810895902782888e-60
K24667,-5.1503,0.70397,4825,275.9,5.7267549346987296e-83,5.3e-12,9.254804964478229e+70
K12979,-5.5046,0.70125,4825,265.6,1.314804006852194e-79,,
K13961,-6.4008,0.69623,4825,,,1.9e-26,
K04769,-4.2921,0.7067,4825,128.73,7.192806846530396e-38,,
K05751,-5.9701,0.69745,4825,,,,
K08584,-5.1536,0.70301,4825,,,,
K06493,-6.758,0.69586,4825,,,,
K00865,-5.9081,0.69754,4825,125.47,7.657875386191094e-37,,
K01411,-7.2849,0.695,4825,,,8.1e-15,
K17092,-5.9231,0.69927,4825,,,,
K18699,-5.2835,0.70173,4825,645.07,3.0437721730788362e-195,4.5e-17,1.4784286550094057e+178
K19681,-6.3525,0.69735,4825,118.23,8.974954758847232e-35,6.7e-05,7.46521868914754e+29
K09836,-5.6355,0.70118,4825,245.93,1.1943242118667127e-73,,
K04400,-6.3001,0.69724,4825,,,,
K07418,-6.2257,0.69635,4825,,,1.8000000000000002e-44,
K11469,-5.3596,0.70076,4825,,,,
K09703,-6.2105,0.6979,4825,140.83,1.3073339051910188e-41,,
K21814,-5.7065,0.69916,4825,,,4.4e-06,
K01629,-5.6883,0.70209,4825,174.33,6.2148562953287735e-52,,
K03022,-5.2795,0.70232,4825,,,,
K25022,-6.3612,0.69718,4825,,,1e-06,
K21628,-5.5182,0.69806,4825,,,,
K10256,-6.0824,0.69791,4825,,,,
K04682,-5.6786,0.69874,4825,,,,
K26532,-5.4174,0.70328,4825,,,,
K04046,-6.1808,0.69711,4825,,,1.8e-145,
K09834,-5.477,0.69838,4825,85.8,9.97579918760015e-25,,
K23283,-6.8227,0.69521,4825,,,,
K24036,-5.639,0.6976,4825,,,,
K02406,-5.7275,0.70018,4825,131.07,1.2176539279938868e-38,9.1,7.473387791712266e+38
K25869,-5.6494,0.69769,4825,,,,
K22851,-4.9634,0.70739,4825,50.0,6.278918734931026e-14,,
K15743,-6.3842,0.69693,4825,,,5.1e-93,
K19718,-5.8635,0.69808,4825,,,,
K00910,-6.3715,0.69631,4825,,,,
